,elapsed_time,position,target,method
0,0.027865886688232422,"[217, 192, 89, 92]","[100, 0, 0, 0]",Internal
1,0.1317915916442871,"[218, 191, 93, 92]","[100, 0, 0, 0]",Internal
2,0.2319810390472412,"[219, 191, 96, 92]","[100, 0, 0, 0]",Internal
3,0.33333253860473633,"[220, 190, 98, 92]","[100, 0, 0, 0]",Internal
4,0.43865013122558594,"[221, 189, 99, 92]","[100, 0, 0, 0]",Internal
5,0.547558069229126,"[222, 189, 102, 92]","[100, 0, 0, 0]",Internal
6,0.6485788822174072,"[222, 186, 105, 92]","[100, 0, 0, 0]",Internal
7,0.7501220703125,"[223, 186, 107, 92]","[100, 0, 0, 0]",Internal
8,0.8596322536468506,"[224, 185, 110, 92]","[100, 0, 0, 0]",Internal
9,0.969865083694458,"[225, 183, 109, 93]","[100, 0, 0, 0]",Internal
10,1.0806186199188232,"[241, 181, 105, 92]","[100, 0, 0, 0]",Internal
11,1.1999235153198242,"[269, 178, 104, 93]","[100, 0, 0, 0]",Internal
12,1.375373125076294,"[283, 177, 105, 91]","[100, 0, 0, 0]",Internal
13,1.4968292713165283,"[296, 175, 106, 92]","[100, 0, 0, 0]",Internal
14,1.5977609157562256,"[302, 173, 109, 93]","[100, 0, 0, 0]",Internal
15,1.7015173435211182,"[309, 170, 110, 94]","[100, 0, 0, 0]",Internal
16,1.8074135780334473,"[316, 168, 112, 95]","[100, 0, 0, 0]",Internal
17,1.9768142700195312,"[318, 168, 112, 95]","[100, 0, 0, 0]",Internal
18,2.1064605712890625,"[328, 167, 116, 95]","[100, 0, 0, 0]",Internal
19,2.2276008129119873,"[333, 168, 117, 95]","[100, 0, 0, 0]",Internal
20,2.3573219776153564,"[337, 176, 122, 91]","[100, 0, 0, 0]",Internal
21,2.471095323562622,"[338, 181, 122, 89]","[100, 0, 0, 0]",Internal
22,2.5716166496276855,"[340, 176, 122, 91]","[100, 0, 0, 0]",Internal
23,2.6830921173095703,"[341, 175, 123, 91]","[100, 0, 0, 0]",Internal
24,2.875297784805298,"[343, 172, 124, 93]","[100, 0, 0, 0]",Internal
25,3.014085531234741,"[343, 167, 124, 95]","[100, 0, 0, 0]",Internal
26,3.1407065391540527,"[343, 167, 125, 95]","[100, 0, 0, 0]",Internal
27,3.2611289024353027,"[343, 169, 126, 94]","[343, 67, 125, 95]",Internal
28,3.399977207183838,"[342, 171, 126, 93]","[343, 67, 125, 95]",Internal
29,3.5420069694519043,"[341, 174, 129, 92]","[343, 67, 125, 95]",Internal
30,3.6546292304992676,"[342, 181, 124, 90]","[343, 67, 125, 95]",Internal
31,3.775294542312622,"[338, 186, 128, 85]","[343, 67, 125, 95]",Internal
32,3.8761823177337646,"[343, 185, 121, 85]","[343, 67, 125, 95]",Internal
33,4.00110387802124,"[342, 179, 122, 84]","[343, 67, 125, 95]",Internal
34,4.140057802200317,"[344, 165, 120, 85]","[343, 67, 125, 95]",Internal
35,4.2463648319244385,"[345, 156, 119, 86]","[343, 67, 125, 95]",Internal
36,4.358015775680542,"[346, 146, 118, 86]","[343, 67, 125, 95]",Internal
37,4.474541187286377,"[347, 129, 116, 90]","[343, 67, 125, 95]",Internal
38,4.655343532562256,"[349, 105, 115, 95]","[343, 67, 125, 95]",Internal
39,4.807354688644409,"[350, 89, 112, 97]","[343, 67, 125, 95]",Internal
40,4.9287109375,"[351, 85, 111, 95]","[343, 67, 125, 95]",Internal
41,5.033551931381226,"[351, 82, 111, 95]","[343, 67, 125, 95]",Internal
42,5.134344100952148,"[352, 78, 110, 94]","[343, 67, 125, 95]",Internal
43,5.24080491065979,"[352, 70, 110, 95]","[343, 67, 125, 95]",Internal
44,5.35409951210022,"[353, 65, 110, 96]","[343, 67, 125, 95]",Internal
45,5.511276960372925,"[353, 58, 109, 97]","[343, 67, 125, 95]",Internal
46,5.661129713058472,"[352, 58, 111, 96]","[343, 67, 125, 95]",Internal
47,5.8623175621032715,"[353, 57, 110, 94]","[343, 67, 125, 95]",Internal
48,5.968206167221069,"[354, 54, 112, 94]","[343, 67, 125, 95]",Internal
49,6.079174518585205,"[355, 49, 113, 97]","[343, 67, 125, 95]",Internal
50,6.2321226596832275,"[355, 50, 113, 96]","[343, 67, 125, 95]",Internal
51,6.356965780258179,"[356, 53, 112, 94]","[343, 67, 125, 95]",Internal
52,6.514172554016113,"[355, 55, 113, 94]","[256, 53, 112, 94]",Internal
53,6.669469118118286,"[355, 56, 113, 94]","[256, 53, 112, 94]",Internal
54,6.8174192905426025,"[355, 56, 113, 94]","[256, 53, 112, 94]",Internal
55,6.946954727172852,"[357, 62, 107, 89]","[256, 53, 112, 94]",Internal
56,7.067412376403809,"[361, 59, 113, 91]","[256, 53, 112, 94]",Internal
57,7.176178693771362,"[360, 58, 113, 92]","[256, 53, 112, 94]",Internal
58,7.365528583526611,"[349, 56, 113, 92]","[256, 53, 112, 94]",Internal
59,7.481510639190674,"[344, 55, 114, 92]","[256, 53, 112, 94]",Internal
60,7.665030002593994,"[333, 54, 110, 93]","[256, 53, 112, 94]",Internal
61,7.799267053604126,"[316, 51, 114, 94]","[256, 53, 112, 94]",Internal
62,7.951035261154175,"[311, 52, 112, 93]","[256, 53, 112, 94]",Internal
63,8.09196138381958,"[298, 46, 114, 94]","[256, 53, 112, 94]",Internal
64,8.203417539596558,"[292, 47, 115, 93]","[256, 53, 112, 94]",Internal
65,8.363504886627197,"[289, 47, 114, 93]","[256, 53, 112, 94]",Internal
66,8.53059983253479,"[285, 46, 110, 94]","[256, 53, 112, 94]",Internal
67,8.673973321914673,"[283, 45, 109, 94]","[256, 53, 112, 94]",Internal
68,8.816166162490845,"[282, 45, 110, 94]","[256, 53, 112, 94]",Internal
69,8.916467428207397,"[282, 44, 110, 94]","[256, 53, 112, 94]",Internal
70,9.079110860824585,"[282, 44, 110, 94]","[256, 53, 112, 94]",Internal
71,9.20333743095398,"[281, 44, 110, 94]","[256, 53, 112, 94]",Internal
72,9.380674362182617,"[280, 43, 109, 94]","[256, 53, 112, 94]",Internal
73,10.452816724777222,"[281, 44, 110, 93]","[256, 53, 112, 94]",Internal
74,10.554296970367432,"[277, 45, 109, 94]","[256, 53, 112, 94]",Internal
75,10.66469120979309,"[277, 45, 109, 93]","[256, 53, 112, 94]",Internal
76,10.778861999511719,"[273, 44, 117, 96]","[256, 53, 112, 94]",Internal
77,10.924970149993896,"[269, 46, 115, 95]","[256, 53, 112, 94]",Internal
78,11.04020380973816,"[269, 46, 115, 95]","[256, 53, 112, 94]",Internal
79,11.178128719329834,"[268, 46, 115, 95]","[256, 53, 112, 94]",Internal
80,11.367018938064575,"[267, 47, 116, 94]","[256, 53, 112, 94]",Internal
81,11.519153833389282,"[267, 54, 111, 90]","[256, 53, 112, 94]",Internal
82,11.712868690490723,"[265, 49, 113, 94]","[256, 53, 112, 94]",Internal
83,11.818435668945312,"[267, 44, 110, 95]","[256, 53, 112, 94]",Internal
84,11.99291443824768,"[268, 43, 111, 96]","[267, 144, 110, 95]",Internal
85,12.100457668304443,"[269, 52, 116, 92]","[267, 144, 110, 95]",Internal
86,12.21185851097107,"[270, 47, 114, 95]","[267, 144, 110, 95]",Internal
87,12.3984055519104,"[273, 36, 111, 99]","[267, 144, 110, 95]",Internal
88,12.529950141906738,"[276, 40, 112, 100]","[267, 144, 110, 95]",Internal
89,12.647632122039795,"[276, 41, 113, 100]","[267, 144, 110, 95]",Internal
90,12.774429559707642,"[281, 52, 115, 100]","[267, 144, 110, 95]",Internal
91,12.940195083618164,"[281, 57, 115, 99]","[267, 144, 110, 95]",Internal
92,13.041559219360352,"[283, 76, 118, 96]","[267, 144, 110, 95]",Internal
93,13.200627088546753,"[284, 82, 120, 96]","[267, 144, 110, 95]",Internal
94,13.379688739776611,"[283, 109, 118, 91]","[267, 144, 110, 95]",Internal
95,13.50797724723816,"[285, 121, 117, 89]","[267, 144, 110, 95]",Internal
96,13.610519409179688,"[286, 123, 116, 90]","[267, 144, 110, 95]",Internal
97,13.715749025344849,"[287, 125, 115, 91]","[267, 144, 110, 95]",Internal
98,13.855539798736572,"[288, 126, 116, 92]","[267, 144, 110, 95]",Internal
99,13.98716139793396,"[289, 127, 115, 93]","[267, 144, 110, 95]",Internal
100,14.098729372024536,"[290, 127, 115, 93]","[267, 144, 110, 95]",Internal
101,14.218868732452393,"[291, 128, 114, 94]","[267, 144, 110, 95]",Internal
102,14.358071565628052,"[292, 129, 114, 94]","[267, 144, 110, 95]",Internal
103,14.49308443069458,"[292, 130, 113, 94]","[267, 144, 110, 95]",Internal
104,14.657256841659546,"[292, 131, 113, 95]","[267, 144, 110, 95]",Internal
105,14.777647495269775,"[292, 133, 113, 94]","[267, 144, 110, 95]",Internal
106,14.887138366699219,"[292, 134, 114, 94]","[267, 144, 110, 95]",Internal
107,14.991294145584106,"[292, 134, 113, 94]","[267, 144, 110, 95]",Internal
108,15.100163221359253,"[292, 135, 113, 94]","[267, 144, 110, 95]",Internal
109,15.231566905975342,"[291, 136, 113, 94]","[267, 144, 110, 95]",Internal
110,15.388533115386963,"[290, 137, 114, 94]","[267, 144, 110, 95]",Internal
111,15.48962950706482,"[290, 138, 114, 94]","[267, 144, 110, 95]",Internal
112,15.593948364257812,"[289, 137, 114, 94]","[267, 144, 110, 95]",Internal
113,15.792298793792725,"[289, 137, 114, 95]","[267, 144, 110, 95]",Internal
114,16.205699920654297,"[288, 138, 115, 95]","[267, 144, 110, 95]",Internal
115,16.314552783966064,"[281, 142, 125, 95]","[267, 144, 110, 95]",Internal
116,16.46847152709961,"[284, 141, 115, 94]","[267, 144, 110, 95]",Internal
