,elapsed_time,position,target,method
0,0.0586552619934082,"[144, 196, 94, 91]","[244, 196, 93, 90]",Proportional
1,0.19042086601257324,"[145, 197, 97, 91]","[244, 196, 93, 90]",Proportional
2,0.26885366439819336,"[145, 198, 98, 90]","[244, 196, 93, 90]",Proportional
3,0.38091278076171875,"[146, 200, 94, 90]","[244, 196, 93, 90]",Proportional
4,0.4981496334075928,"[115.25, 268.5, 205.75, 44.0]","[244, 196, 93, 90]",Proportional
5,0.5781688690185547,"[148, 200, 94, 90]","[244, 196, 93, 90]",Proportional
6,0.7009644508361816,"[150, 200, 108, 89]","[244, 196, 93, 90]",Proportional
7,0.8325967788696289,"[150, 200, 111, 90]","[244, 196, 93, 90]",Proportional
8,0.9425766468048096,"[150, 200, 116, 90]","[244, 196, 93, 90]",Proportional
9,1.088773488998413,"[150, 199, 116, 90]","[244, 196, 93, 90]",Proportional
10,1.5371899604797363,"[150, 199, 115, 90]","[244, 196, 93, 90]",Proportional
11,1.582930326461792,"[150, 199, 115, 90]","[244, 196, 93, 90]",Proportional
12,1.6769845485687256,"[149, 198, 110, 91]","[244, 196, 93, 90]",Proportional
13,1.797628402709961,"[150, 198, 110, 91]","[244, 196, 93, 90]",Proportional
14,1.963472604751587,"[150, 198, 111, 91]","[244, 196, 93, 90]",Proportional
15,1.9901471138000488,"[151, 198, 115, 90]","[244, 196, 93, 90]",Proportional
16,2.0931196212768555,"[152, 198, 116, 90]","[244, 196, 93, 90]",Proportional
17,2.4598801136016846,"[153, 198, 115, 90]","[244, 196, 93, 90]",Proportional
18,2.5102005004882812,"[155, 198, 115, 91]","[244, 196, 93, 90]",Proportional
19,2.7438008785247803,"[160, 198, 117, 92]","[244, 196, 93, 90]",Proportional
20,2.8044652938842773,"[167, 197, 123, 88]","[244, 196, 93, 90]",Proportional
21,2.922976493835449,"[171, 198, 120, 91]","[244, 196, 93, 90]",Proportional
22,2.998551368713379,"[174, 197, 122, 92]","[244, 196, 93, 90]",Proportional
23,3.1079211235046387,"[177, 198, 123, 92]","[244, 196, 93, 90]",Proportional
24,3.2781248092651367,"[182, 198, 125, 92]","[244, 196, 93, 90]",Proportional
25,3.603856086730957,"[191, 198, 125, 89]","[244, 196, 93, 90]",Proportional
26,3.647113084793091,"[194, 198, 125, 90]","[244, 196, 93, 90]",Proportional
27,3.7647626399993896,"[205, 199, 125, 90]","[244, 196, 93, 90]",Proportional
28,3.9787039756774902,"[210, 199, 125, 91]","[244, 196, 93, 90]",Proportional
29,4.082300901412964,"[217, 198, 122, 90]","[244, 196, 93, 90]",Proportional
30,4.249574422836304,"[223, 199, 126, 91]","[244, 196, 93, 90]",Proportional
31,4.402071952819824,"[227, 199, 124, 90]","[244, 196, 93, 90]",Proportional
32,4.455192565917969,"[233, 199, 124, 90]","[244, 196, 93, 90]",Proportional
33,4.546154737472534,"[235, 200, 124, 89]","[244, 196, 93, 90]",Proportional
34,4.6777355670928955,"[241, 200, 124, 89]","[244, 196, 93, 90]",Proportional
35,4.84337854385376,"[242, 200, 125, 90]","[244, 196, 93, 90]",Proportional
36,4.9406373500823975,"[244, 200, 125, 89]","[244, 196, 93, 90]",Proportional
37,5.242179870605469,"[251, 201, 122, 90]","[244, 196, 93, 90]",Proportional
38,5.346063852310181,"[255, 201, 119, 91]","[244, 196, 93, 90]",Proportional
39,5.454084873199463,"[257, 201, 120, 90]","[244, 196, 93, 90]",Proportional
40,5.570127010345459,"[258, 201, 116, 90]","[244, 196, 93, 90]",Proportional
41,5.676263332366943,"[259, 201, 118, 90]","[244, 196, 93, 90]",Proportional
42,5.8217384815216064,"[259, 201, 118, 90]","[244, 196, 93, 90]",Proportional
