,elapsed_time,position,target,method
0,0.09973645210266113,"[71, 95, 94, 89]","[371, 95, 94, 89]",Proportional
1,0.19512128829956055,"[71, 95, 93, 89]","[371, 95, 94, 89]",Proportional
2,0.33228540420532227,"[72, 96, 92, 89]","[371, 95, 94, 89]",Proportional
3,0.4361896514892578,"[72, 96, 92, 89]","[371, 95, 94, 89]",Proportional
4,0.5382955074310303,"[74, 96, 99, 89]","[371, 95, 94, 89]",Proportional
5,0.6493346691131592,"[76, 95, 108, 89]","[371, 95, 94, 89]",Proportional
6,0.7956912517547607,"[77, 94, 120, 89]","[371, 95, 94, 89]",Proportional
7,0.8688535690307617,"[76, 94, 127, 88]","[371, 95, 94, 89]",Proportional
8,0.9803664684295654,"[78, 93, 129, 90]","[371, 95, 94, 89]",Proportional
9,1.1005668640136719,"[79, 93, 129, 89]","[371, 95, 94, 89]",Proportional
10,1.2066121101379395,"[79, 93, 131, 89]","[371, 95, 94, 89]",Proportional
11,1.3035218715667725,"[79, 92, 133, 90]","[371, 95, 94, 89]",Proportional
12,1.3725662231445312,"[80, 92, 131, 89]","[371, 95, 94, 89]",Proportional
13,1.522120475769043,"[80, 92, 131, 89]","[371, 95, 94, 89]",Proportional
14,1.6028385162353516,"[78, 91, 135, 91]","[371, 95, 94, 89]",Proportional
15,1.7350058555603027,"[80, 91, 130, 90]","[371, 95, 94, 89]",Proportional
16,1.792006254196167,"[80, 91, 130, 89]","[371, 95, 94, 89]",Proportional
17,1.8947484493255615,"[80, 91, 129, 90]","[371, 95, 94, 89]",Proportional
18,2.121914863586426,"[80, 91, 129, 90]","[371, 95, 94, 89]",Proportional
19,2.143117666244507,"[80, 91, 128, 90]","[371, 95, 94, 89]",Proportional
20,2.2373571395874023,"[78, 90, 133, 92]","[371, 95, 94, 89]",Proportional
21,2.3660361766815186,"[82, 91, 125, 89]","[371, 95, 94, 89]",Proportional
22,2.4673280715942383,"[83, 90, 127, 90]","[371, 95, 94, 89]",Proportional
23,2.564901351928711,"[85, 90, 126, 90]","[371, 95, 94, 89]",Proportional
24,2.747819185256958,"[89, 90, 124, 91]","[371, 95, 94, 89]",Proportional
25,2.8011043071746826,"[92, 90, 124, 90]","[371, 95, 94, 89]",Proportional
26,2.897477388381958,"[94, 89, 122, 90]","[371, 95, 94, 89]",Proportional
27,3.0486531257629395,"[101, 89, 121, 90]","[371, 95, 94, 89]",Proportional
28,3.6593587398529053,"[104, 88, 121, 90]","[371, 95, 94, 89]",Proportional
29,3.710205554962158,"[106, 88, 121, 90]","[371, 95, 94, 89]",Proportional
30,3.80173397064209,"[128, 86, 119, 91]","[371, 95, 94, 89]",Proportional
31,3.8867499828338623,"[139, 84, 117, 90]","[371, 95, 94, 89]",Proportional
32,4.0251030921936035,"[148, 83, 115, 90]","[371, 95, 94, 89]",Proportional
33,4.099947929382324,"[157, 82, 115, 90]","[371, 95, 94, 89]",Proportional
34,4.220579147338867,"[163, 82, 115, 89]","[371, 95, 94, 89]",Proportional
35,4.289038181304932,"[166, 82, 115, 89]","[371, 95, 94, 89]",Proportional
36,4.401108741760254,"[173, 81, 116, 88]","[371, 95, 94, 89]",Proportional
37,4.577035665512085,"[175, 81, 116, 88]","[371, 95, 94, 89]",Proportional
38,4.708506107330322,"[187, 79, 115, 89]","[371, 95, 94, 89]",Proportional
39,4.839182376861572,"[189, 78, 114, 89]","[371, 95, 94, 89]",Proportional
40,5.163809537887573,"[195, 75, 114, 89]","[371, 95, 94, 89]",Proportional
41,5.190959453582764,"[198, 73, 114, 89]","[371, 95, 94, 89]",Proportional
42,5.3332624435424805,"[206, 71, 115, 93]","[371, 95, 94, 89]",Proportional
43,5.42624306678772,"[212, 68, 113, 88]","[371, 95, 94, 89]",Proportional
44,5.566608190536499,"[218, 65, 114, 87]","[371, 95, 94, 89]",Proportional
45,5.693060398101807,"[223, 60, 114, 88]","[371, 95, 94, 89]",Proportional
46,5.9305174350738525,"[225, 56, 114, 88]","[371, 95, 94, 89]",Proportional
47,6.006686210632324,"[231, 47, 116, 91]","[371, 95, 94, 89]",Proportional
48,6.111823797225952,"[236, 43, 115, 91]","[371, 95, 94, 89]",Proportional
49,6.26429557800293,"[240, 41, 115, 91]","[371, 95, 94, 89]",Proportional
50,6.351978063583374,"[243, 38, 114, 91]","[371, 95, 94, 89]",Proportional
51,6.633363246917725,"[247, 35, 113, 92]","[371, 95, 94, 89]",Proportional
52,6.672489643096924,"[251, 33, 113, 92]","[371, 95, 94, 89]",Proportional
53,6.828173637390137,"[257, 30, 112, 92]","[371, 95, 94, 89]",Proportional
54,6.9270265102386475,"[262, 29, 112, 92]","[371, 95, 94, 89]",Proportional
55,7.006505489349365,"[271, 27, 112, 92]","[371, 95, 94, 89]",Proportional
56,7.13355278968811,"[279, 26, 111, 92]","[371, 95, 94, 89]",Proportional
57,7.270550489425659,"[286, 26, 110, 91]","[371, 95, 94, 89]",Proportional
58,7.469228506088257,"[290, 26, 111, 92]","[371, 95, 94, 89]",Proportional
59,7.563807964324951,"[299, 25, 110, 92]","[371, 95, 94, 89]",Proportional
60,7.6380839347839355,"[304, 25, 110, 92]","[371, 95, 94, 89]",Proportional
61,7.7359397411346436,"[310, 26, 110, 92]","[371, 95, 94, 89]",Proportional
62,7.8353235721588135,"[313, 27, 110, 92]","[371, 95, 94, 89]",Proportional
63,7.988271236419678,"[321, 29, 111, 92]","[371, 95, 94, 89]",Proportional
64,8.087713718414307,"[326, 29, 112, 91]","[371, 95, 94, 89]",Proportional
65,8.2199068069458,"[331, 30, 113, 92]","[371, 95, 94, 89]",Proportional
66,8.319533109664917,"[334, 31, 116, 91]","[371, 95, 94, 89]",Proportional
67,8.435201644897461,"[342, 33, 113, 91]","[371, 95, 94, 89]",Proportional
68,8.558690547943115,"[347, 35, 112, 92]","[371, 95, 94, 89]",Proportional
69,8.658906698226929,"[350, 36, 113, 92]","[371, 95, 94, 89]",Proportional
70,8.852813720703125,"[354, 38, 113, 92]","[371, 95, 94, 89]",Proportional
71,9.057560205459595,"[359, 41, 113, 92]","[371, 95, 94, 89]",Proportional
72,9.075478315353394,"[362, 43, 113, 92]","[371, 95, 94, 89]",Proportional
73,9.315412759780884,"[366, 47, 115, 93]","[371, 95, 94, 89]",Proportional
74,9.450228452682495,"[372, 54, 112, 93]","[371, 95, 94, 89]",Proportional
75,9.670854568481445,"[374, 56, 112, 93]","[371, 95, 94, 89]",Proportional
76,9.827026605606079,"[376, 60, 111, 93]","[371, 95, 94, 89]",Proportional
77,10.165980815887451,"[377, 61, 111, 93]","[371, 95, 94, 89]",Proportional
