,elapsed_time,position,target,method
0,0.14844846725463867,"[58, 90, 86, 92]","[358, 90, 83, 92]",Proportional
1,0.2322690486907959,"[59, 90, 88, 92]","[358, 90, 83, 92]",Proportional
2,0.388538122177124,"[59, 90, 91, 92]","[358, 90, 83, 92]",Proportional
3,0.5575346946716309,"[60, 89, 92, 92]","[358, 90, 83, 92]",Proportional
4,0.5802102088928223,"[60, 90, 93, 91]","[358, 90, 83, 92]",Proportional
5,0.7114551067352295,"[60, 89, 94, 92]","[358, 90, 83, 92]",Proportional
6,0.7896778583526611,"[62, 87, 109, 92]","[358, 90, 83, 92]",Proportional
7,0.9285666942596436,"[63, 86, 115, 92]","[358, 90, 83, 92]",Proportional
8,1.0137126445770264,"[65, 84, 117, 92]","[358, 90, 83, 92]",Proportional
9,1.105503797531128,"[66, 84, 121, 92]","[358, 90, 83, 92]",Proportional
10,1.243941068649292,"[66, 84, 122, 92]","[358, 90, 83, 92]",Proportional
11,1.3136913776397705,"[66, 84, 123, 92]","[358, 90, 83, 92]",Proportional
12,1.5856375694274902,"[66, 84, 123, 92]","[358, 90, 83, 92]",Proportional
13,1.6840136051177979,"[66, 84, 123, 92]","[358, 90, 83, 92]",Proportional
14,1.7960281372070312,"[66, 84, 123, 92]","[358, 90, 83, 92]",Proportional
15,2.0149033069610596,"[66, 84, 122, 91]","[358, 90, 83, 92]",Proportional
16,2.101687431335449,"[67, 84, 122, 92]","[358, 90, 83, 92]",Proportional
17,2.1490414142608643,"[69, 84, 122, 91]","[358, 90, 83, 92]",Proportional
18,2.266648054122925,"[70, 84, 121, 92]","[358, 90, 83, 92]",Proportional
19,2.4401471614837646,"[73, 83, 121, 92]","[358, 90, 83, 92]",Proportional
20,2.536165714263916,"[77, 82, 120, 92]","[358, 90, 83, 92]",Proportional
21,2.5861215591430664,"[81, 82, 121, 92]","[358, 90, 83, 92]",Proportional
22,2.899958372116089,"[86, 80, 120, 92]","[358, 90, 83, 92]",Proportional
23,3.070970296859741,"[95, 80, 119, 91]","[358, 90, 83, 92]",Proportional
24,3.125295877456665,"[103, 78, 118, 92]","[358, 90, 83, 92]",Proportional
25,3.2326531410217285,"[107, 77, 117, 92]","[358, 90, 83, 92]",Proportional
26,3.340329647064209,"[112, 75, 117, 93]","[358, 90, 83, 92]",Proportional
27,3.4431538581848145,"[115, 75, 115, 92]","[358, 90, 83, 92]",Proportional
28,3.5732061862945557,"[120, 73, 116, 93]","[358, 90, 83, 92]",Proportional
29,3.6678402423858643,"[127, 72, 114, 92]","[358, 90, 83, 92]",Proportional
30,3.7426767349243164,"[132, 70, 114, 92]","[358, 90, 83, 92]",Proportional
31,3.845172643661499,"[137, 70, 113, 92]","[358, 90, 83, 92]",Proportional
32,3.993272066116333,"[144, 68, 111, 92]","[358, 90, 83, 92]",Proportional
33,4.058180809020996,"[149, 67, 110, 92]","[358, 90, 83, 92]",Proportional
34,4.206236362457275,"[154, 66, 110, 92]","[358, 90, 83, 92]",Proportional
35,4.513570308685303,"[165, 64, 109, 91]","[358, 90, 83, 92]",Proportional
36,4.567401885986328,"[167, 63, 110, 91]","[358, 90, 83, 92]",Proportional
37,4.686312198638916,"[173, 60, 110, 91]","[358, 90, 83, 92]",Proportional
38,5.038328409194946,"[177, 57, 111, 91]","[358, 90, 83, 92]",Proportional
39,5.166714191436768,"[176.5, 138.0, 266.0, -36.0]","[358, 90, 83, 92]",Proportional
40,5.987457036972046,"[193.75, 81.0, 184.0, 28.0]","[358, 90, 83, 92]",Proportional
41,6.013878345489502,"[213, 22, 101, 92]","[358, 90, 83, 92]",Proportional
42,6.12017560005188,"[216, 20, 99, 92]","[358, 90, 83, 92]",Proportional
43,6.233275413513184,"[218, 17, 98, 92]","[358, 90, 83, 92]",Proportional
44,6.569762468338013,"[219, 15, 97, 93]","[358, 90, 83, 92]",Proportional
45,6.654654026031494,"[223, 8, 96, 95]","[358, 90, 83, 92]",Proportional
46,6.687459945678711,"[225, 8, 93, 93]","[358, 90, 83, 92]",Proportional
47,7.0446882247924805,"[227, 6, 94, 94]","[358, 90, 83, 92]",Proportional
48,7.880120515823364,"[259, 1, 91, 93]","[358, 90, 83, 92]",Proportional
49,7.982198715209961,"[261, 1, 91, 93]","[358, 90, 83, 92]",Proportional
50,8.10151743888855,"[267, 2, 90, 93]","[358, 90, 83, 92]",Proportional
51,8.15480661392212,"[269, 3, 91, 93]","[358, 90, 83, 92]",Proportional
52,8.259321928024292,"[273, 4, 91, 92]","[358, 90, 83, 92]",Proportional
53,8.490319967269897,"[275, 4, 91, 92]","[358, 90, 83, 92]",Proportional
54,9.01557445526123,"[293, 8, 93, 93]","[358, 90, 83, 92]",Proportional
55,9.087626934051514,"[300, 11, 91, 93]","[358, 90, 83, 92]",Proportional
56,9.232512712478638,"[302, 11, 90, 93]","[358, 90, 83, 92]",Proportional
57,9.728105306625366,"[305, 12, 90, 93]","[358, 90, 83, 92]",Proportional
58,9.795089483261108,"[-54.5, 6.5, 583.5, 97.0]","[358, 90, 83, 92]",Proportional
59,9.952846050262451,"[228.875, 18.375, 213.625, 93.75]","[358, 90, 83, 92]",Proportional
60,10.107877731323242,"[276.9375, 20.6875, 152.3125, 92.875]","[358, 90, 83, 92]",Proportional
61,10.180066108703613,"[331, 26, 91, 93]","[358, 90, 83, 92]",Proportional
62,10.259274959564209,"[333, 29, 91, 93]","[358, 90, 83, 92]",Proportional
63,10.358019351959229,"[335, 32, 91, 92]","[358, 90, 83, 92]",Proportional
64,10.583667039871216,"[338, 34, 90, 92]","[358, 90, 83, 92]",Proportional
65,10.628290891647339,"[342, 35, 88, 93]","[358, 90, 83, 92]",Proportional
66,10.762717723846436,"[345, 36, 87, 93]","[358, 90, 83, 92]",Proportional
67,10.906514883041382,"[349, 38, 87, 94]","[358, 90, 83, 92]",Proportional
68,11.094401597976685,"[353, 41, 86, 94]","[358, 90, 83, 92]",Proportional
69,11.236504793167114,"[354, 43, 87, 94]","[358, 90, 83, 92]",Proportional
70,11.362514019012451,"[357, 47, 87, 94]","[358, 90, 83, 92]",Proportional
71,11.454330205917358,"[358, 49, 87, 93]","[358, 90, 83, 92]",Proportional
72,11.572901248931885,"[359, 50, 87, 93]","[358, 90, 83, 92]",Proportional
73,11.66549277305603,"[361, 53, 88, 93]","[358, 90, 83, 92]",Proportional
74,11.748013973236084,"[362, 55, 88, 93]","[358, 90, 83, 92]",Proportional
75,11.937299728393555,"[363, 59, 91, 94]","[358, 90, 83, 92]",Proportional
76,12.051063299179077,"[365, 64, 90, 93]","[358, 90, 83, 92]",Proportional
77,12.127602577209473,"[366, 66, 90, 93]","[358, 90, 83, 92]",Proportional
78,12.248010396957397,"[367, 68, 90, 93]","[358, 90, 83, 92]",Proportional
79,12.434231996536255,"[368, 70, 90, 93]","[358, 90, 83, 92]",Proportional
80,12.496999502182007,"[369, 72, 90, 93]","[358, 90, 83, 92]",Proportional
81,12.662437915802002,"[370, 75, 90, 92]","[358, 90, 83, 92]",Proportional
82,12.76976490020752,"[371, 76, 91, 92]","[358, 90, 83, 92]",Proportional
83,12.83967924118042,"[371, 77, 91, 92]","[358, 90, 83, 92]",Proportional
84,12.953068494796753,"[372, 78, 91, 92]","[358, 90, 83, 92]",Proportional
85,13.043651342391968,"[372, 79, 91, 92]","[358, 90, 83, 92]",Proportional
86,13.176870346069336,"[373, 80, 91, 92]","[358, 90, 83, 92]",Proportional
87,13.246058225631714,"[373, 81, 91, 93]","[358, 90, 83, 92]",Proportional
88,13.348904132843018,"[373, 81, 91, 92]","[358, 90, 83, 92]",Proportional
89,13.489147663116455,"[374, 82, 91, 92]","[358, 90, 83, 92]",Proportional
90,13.589313745498657,"[374, 82, 91, 92]","[358, 90, 83, 92]",Proportional
91,13.766546487808228,"[374, 83, 92, 92]","[358, 90, 83, 92]",Proportional
92,13.854777336120605,"[375, 83, 92, 92]","[358, 90, 83, 92]",Proportional
93,14.022228002548218,"[375, 82, 92, 92]","[358, 90, 83, 92]",Proportional
94,14.129500389099121,"[375, 82, 92, 93]","[358, 90, 83, 92]",Proportional
95,14.212039232254028,"[375, 81, 91, 93]","[358, 90, 83, 92]",Proportional
96,14.446528196334839,"[375, 81, 91, 93]","[358, 90, 83, 92]",Proportional
97,14.496392726898193,"[375, 80, 92, 93]","[358, 90, 83, 92]",Proportional
98,14.640774965286255,"[375, 80, 92, 93]","[358, 90, 83, 92]",Proportional
99,14.705805540084839,"[375, 79, 92, 93]","[358, 90, 83, 92]",Proportional
100,15.273116827011108,"[375, 79, 92, 93]","[358, 90, 83, 92]",Proportional
101,15.39074993133545,"[375, 78, 92, 93]","[358, 90, 83, 92]",Proportional
102,15.48757290840149,"[374, 77, 94, 92]","[358, 90, 83, 92]",Proportional
103,15.707642555236816,"[373, 75, 91, 94]","[358, 90, 83, 92]",Proportional
104,15.869470119476318,"[373, 74, 90, 94]","[358, 90, 83, 92]",Proportional
105,15.943570375442505,"[373, 73, 90, 94]","[358, 90, 83, 92]",Proportional
106,16.027217388153076,"[373, 73, 90, 94]","[358, 90, 83, 92]",Proportional
107,16.168043613433838,"[373, 73, 90, 93]","[358, 90, 83, 92]",Proportional
108,16.24480891227722,"[372, 73, 90, 94]","[358, 90, 83, 92]",Proportional
109,16.342750787734985,"[372, 72, 90, 94]","[358, 90, 83, 92]",Proportional
110,16.443416833877563,"[372, 72, 90, 94]","[358, 90, 83, 92]",Proportional
