,elapsed_time,position,target,method
0,0.10724902153015137,"[160, 191, 93, 93]","[260, 191, 93, 93]",Trapezoid
1,0.24735283851623535,"[160, 189, 93, 94]","[260, 191, 93, 93]",Trapezoid
2,0.48917484283447266,"[163, 185, 90, 94]","[260, 191, 93, 93]",Trapezoid
3,0.5274703502655029,"[163, 184, 92, 94]","[260, 191, 93, 93]",Trapezoid
4,0.6607353687286377,"[163, 184, 96, 94]","[260, 191, 93, 93]",Trapezoid
5,0.7381720542907715,"[163, 183, 101, 95]","[260, 191, 93, 93]",Trapezoid
6,0.86104416847229,"[164, 184, 103, 94]","[260, 191, 93, 93]",Trapezoid
7,0.9648294448852539,"[165, 183, 106, 95]","[260, 191, 93, 93]",Trapezoid
8,1.0590534210205078,"[166, 184, 109, 95]","[260, 191, 93, 93]",Trapezoid
9,1.1828269958496094,"[166, 183, 110, 95]","[260, 191, 93, 93]",Trapezoid
10,1.2802329063415527,"[166, 183, 110, 95]","[260, 191, 93, 93]",Trapezoid
11,1.4228804111480713,"[166, 183, 110, 95]","[260, 191, 93, 93]",Trapezoid
12,1.493032455444336,"[167, 183, 110, 94]","[260, 191, 93, 93]",Trapezoid
13,1.6920416355133057,"[167, 182, 109, 95]","[260, 191, 93, 93]",Trapezoid
14,1.7192225456237793,"[167, 182, 109, 95]","[260, 191, 93, 93]",Trapezoid
15,1.8267416954040527,"[167, 180, 108, 96]","[260, 191, 93, 93]",Trapezoid
16,1.9170851707458496,"[168, 180, 107, 96]","[260, 191, 93, 93]",Trapezoid
17,2.1405856609344482,"[169, 181, 106, 97]","[260, 191, 93, 93]",Trapezoid
18,2.166611909866333,"[170, 181, 105, 96]","[260, 191, 93, 93]",Trapezoid
19,2.373096227645874,"[173, 183, 104, 96]","[260, 191, 93, 93]",Trapezoid
20,2.3974435329437256,"[175, 185, 104, 96]","[260, 191, 93, 93]",Trapezoid
21,2.559549570083618,"[177, 186, 103, 96]","[260, 191, 93, 93]",Trapezoid
22,2.6072304248809814,"[179, 188, 104, 96]","[260, 191, 93, 93]",Trapezoid
23,2.7244932651519775,"[181, 190, 103, 96]","[260, 191, 93, 93]",Trapezoid
24,2.8134360313415527,"[184, 192, 102, 96]","[260, 191, 93, 93]",Trapezoid
25,2.9241418838500977,"[186, 193, 101, 96]","[260, 191, 93, 93]",Trapezoid
26,3.0347559452056885,"[190, 196, 100, 96]","[260, 191, 93, 93]",Trapezoid
27,3.135610580444336,"[193, 198, 99, 96]","[260, 191, 93, 93]",Trapezoid
28,3.3477132320404053,"[196, 203, 103, 93]","[260, 191, 93, 93]",Trapezoid
29,3.4705758094787598,"[200, 207, 101, 92]","[260, 191, 93, 93]",Trapezoid
30,3.5491862297058105,"[204, 209, 100, 92]","[260, 191, 93, 93]",Trapezoid
31,3.6154918670654297,"[205, 209, 100, 92]","[260, 191, 93, 93]",Trapezoid
32,3.765228033065796,"[210, 209, 99, 92]","[260, 191, 93, 93]",Trapezoid
33,3.807622194290161,"[211, 208, 100, 93]","[260, 191, 93, 93]",Trapezoid
34,4.304071426391602,"[214, 207, 100, 93]","[260, 191, 93, 93]",Trapezoid
35,4.897788047790527,"[240, 191, 98, 93]","[260, 191, 93, 93]",Trapezoid
36,4.9740893840789795,"[243, 189, 97, 93]","[240, 91, 98, 93]",Trapezoid
37,5.079893350601196,"[251, 182, 97, 93]","[240, 91, 98, 93]",Trapezoid
38,5.195099353790283,"[253, 181, 97, 94]","[240, 91, 98, 93]",Trapezoid
39,5.359157085418701,"[260, 174, 97, 94]","[240, 91, 98, 93]",Trapezoid
40,5.450101852416992,"[263, 171, 98, 95]","[240, 91, 98, 93]",Trapezoid
41,5.622735500335693,"[265, 169, 98, 95]","[240, 91, 98, 93]",Trapezoid
42,5.763816595077515,"[271, 163, 99, 96]","[240, 91, 98, 93]",Trapezoid
43,5.85666036605835,"[273, 161, 100, 96]","[240, 91, 98, 93]",Trapezoid
44,5.927117109298706,"[275, 159, 102, 96]","[240, 91, 98, 93]",Trapezoid
45,6.032873868942261,"[277, 159, 99, 93]","[240, 91, 98, 93]",Trapezoid
46,6.404884576797485,"[279, 158, 99, 94]","[240, 91, 98, 93]",Trapezoid
47,6.421496629714966,"[282, 157, 107, 94]","[240, 91, 98, 93]",Trapezoid
48,6.7024455070495605,"[285, 145, 100, 94]","[240, 91, 98, 93]",Trapezoid
49,6.7547712326049805,"[285, 144, 100, 94]","[240, 91, 98, 93]",Trapezoid
50,7.083852052688599,"[285, 143, 101, 94]","[240, 91, 98, 93]",Trapezoid
51,7.305427312850952,"[285, 139, 100, 94]","[240, 91, 98, 93]",Trapezoid
52,7.692459583282471,"[280, 117, 100, 94]","[240, 91, 98, 93]",Trapezoid
53,7.752310514450073,"[279, 114, 98, 93]","[240, 91, 98, 93]",Trapezoid
54,7.819364309310913,"[278, 113, 99, 93]","[240, 91, 98, 93]",Trapezoid
55,8.427822351455688,"[278, 110, 99, 93]","[240, 91, 98, 93]",Trapezoid
56,8.735599517822266,"[270, 84, 98, 94]","[240, 91, 98, 93]",Trapezoid
57,8.816167116165161,"[270, 83, 97, 95]","[240, 91, 98, 93]",Trapezoid
58,8.911725759506226,"[269, 79, 97, 95]","[240, 91, 98, 93]",Trapezoid
59,8.967902660369873,"[268, 77, 97, 95]","[240, 91, 98, 93]",Trapezoid
60,9.139187574386597,"[268, 76, 97, 95]","[240, 91, 98, 93]",Trapezoid
61,9.19719910621643,"[266, 73, 96, 96]","[240, 91, 98, 93]",Trapezoid
62,9.322434186935425,"[265, 70, 97, 95]","[240, 91, 98, 93]",Trapezoid
63,9.673670291900635,"[264, 69, 97, 95]","[240, 91, 98, 93]",Trapezoid
64,9.769196033477783,"[261, 64, 97, 95]","[240, 91, 98, 93]",Trapezoid
65,9.804618835449219,"[260, 63, 97, 95]","[240, 91, 98, 93]",Trapezoid
66,9.929551124572754,"[259, 62, 96, 96]","[240, 91, 98, 93]",Trapezoid
67,10.094892263412476,"[257, 60, 96, 96]","[240, 91, 98, 93]",Trapezoid
68,10.163958311080933,"[257, 60, 96, 96]","[240, 91, 98, 93]",Trapezoid
69,10.260088920593262,"[255, 60, 96, 95]","[240, 91, 98, 93]",Trapezoid
70,10.486545324325562,"[255, 60, 96, 95]","[240, 91, 98, 93]",Trapezoid
71,10.497260808944702,"[254, 59, 97, 96]","[240, 91, 98, 93]",Trapezoid
72,10.623460054397583,"[252, 59, 97, 95]","[240, 91, 98, 93]",Trapezoid
73,10.724853754043579,"[251, 59, 97, 95]","[240, 91, 98, 93]",Trapezoid
74,10.863729238510132,"[250, 59, 96, 95]","[240, 91, 98, 93]",Trapezoid
75,10.915086507797241,"[249, 59, 97, 95]","[240, 91, 98, 93]",Trapezoid
76,11.059678554534912,"[247, 59, 96, 95]","[240, 91, 98, 93]",Trapezoid
77,11.1405611038208,"[247, 59, 97, 95]","[240, 91, 98, 93]",Trapezoid
78,11.288998365402222,"[245, 58, 97, 95]","[240, 91, 98, 93]",Trapezoid
79,11.419438123703003,"[244, 59, 97, 95]","[240, 91, 98, 93]",Trapezoid
80,11.614431858062744,"[242, 59, 97, 95]","[240, 91, 98, 93]",Trapezoid
81,11.710887670516968,"[241, 58, 97, 95]","[240, 91, 98, 93]",Trapezoid
82,11.800678968429565,"[239, 58, 98, 95]","[240, 91, 98, 93]",Trapezoid
83,11.94191312789917,"[238, 59, 98, 94]","[240, 91, 98, 93]",Trapezoid
84,12.058611869812012,"[236, 59, 98, 94]","[240, 91, 98, 93]",Trapezoid
85,12.182215213775635,"[235, 59, 98, 94]","[240, 91, 98, 93]",Trapezoid
86,12.268965482711792,"[234, 58, 99, 94]","[240, 91, 98, 93]",Trapezoid
