,elapsed_time,position,target,method
0,0.08757233619689941,"[153, 185, 96, 92]","[253, 186, 96, 92]",Trapezoid
1,0.21560168266296387,"[153, 185, 97, 92]","[253, 186, 96, 92]",Trapezoid
2,0.2937290668487549,"[154, 185, 99, 92]","[253, 186, 96, 92]",Trapezoid
3,0.4186108112335205,"[155, 185, 102, 92]","[253, 186, 96, 92]",Trapezoid
4,0.5051231384277344,"[156, 184, 106, 92]","[253, 186, 96, 92]",Trapezoid
5,0.6242735385894775,"[157, 183, 110, 92]","[253, 186, 96, 92]",Trapezoid
6,0.727475643157959,"[157, 183, 112, 92]","[253, 186, 96, 92]",Trapezoid
7,0.8503179550170898,"[157, 180, 110, 93]","[253, 186, 96, 92]",Trapezoid
8,0.9228224754333496,"[158, 178, 108, 93]","[253, 186, 96, 92]",Trapezoid
9,1.0535047054290771,"[159, 179, 110, 93]","[253, 186, 96, 92]",Trapezoid
10,1.1334590911865234,"[159, 179, 111, 93]","[253, 186, 96, 92]",Trapezoid
11,1.2498037815093994,"[159, 178, 111, 93]","[253, 186, 96, 92]",Trapezoid
12,1.4048407077789307,"[160, 179, 113, 93]","[253, 186, 96, 92]",Trapezoid
13,2.0707173347473145,"[160, 178, 112, 93]","[253, 186, 96, 92]",Trapezoid
14,2.143796682357788,"[161, 179, 111, 93]","[253, 186, 96, 92]",Trapezoid
15,3.619908332824707,"[162, 179, 111, 93]","[253, 186, 96, 92]",Trapezoid
16,3.6379411220550537,"[162, 180, 111, 92]","[253, 186, 96, 92]",Trapezoid
17,3.735344648361206,"[171, 188, 113, 94]","[253, 186, 96, 92]",Trapezoid
18,4.257919549942017,"[175, 192, 114, 94]","[253, 186, 96, 92]",Trapezoid
19,4.320950031280518,"[175, 193, 120, 95]","[253, 186, 96, 92]",Trapezoid
20,4.425717115402222,"[211, 220, 105, 91]","[253, 186, 96, 92]",Trapezoid
21,4.540819883346558,"[215, 222, 103, 90]","[253, 186, 96, 92]",Trapezoid
22,4.5719969272613525,"[216, 222, 103, 90]","[253, 186, 96, 92]",Trapezoid
23,4.728234529495239,"[221, 221, 102, 90]","[253, 186, 96, 92]",Trapezoid
24,4.794683456420898,"[224, 220, 102, 90]","[253, 186, 96, 92]",Trapezoid
25,4.910143852233887,"[226, 219, 102, 89]","[253, 186, 96, 92]",Trapezoid
26,5.19116735458374,"[230, 217, 105, 91]","[253, 186, 96, 92]",Trapezoid
27,5.386819839477539,"[237, 212, 106, 90]","[253, 186, 96, 92]",Trapezoid
28,5.452883005142212,"[239, 210, 106, 90]","[253, 186, 96, 92]",Trapezoid
29,5.554681062698364,"[243, 205, 107, 90]","[253, 186, 96, 92]",Trapezoid
30,5.6407997608184814,"[245, 202, 108, 90]","[253, 186, 96, 92]",Trapezoid
31,5.8282365798950195,"[248, 196, 104, 91]","[253, 186, 96, 92]",Trapezoid
32,5.881223201751709,"[249, 194, 104, 91]","[253, 186, 96, 92]",Trapezoid
33,6.075925350189209,"[252, 188, 104, 92]","[253, 186, 96, 92]",Trapezoid
34,6.181279897689819,"[254, 185, 104, 92]","[253, 186, 96, 92]",Trapezoid
35,6.255894422531128,"[255, 182, 105, 92]","[253, 186, 96, 92]",Trapezoid
36,6.405102014541626,"[256, 177, 104, 92]","[253, 186, 96, 92]",Trapezoid
37,6.4536778926849365,"[257, 175, 104, 92]","[253, 186, 96, 92]",Trapezoid
38,6.573940277099609,"[258, 170, 104, 92]","[253, 186, 96, 92]",Trapezoid
39,6.743517637252808,"[259, 162, 105, 94]","[253, 186, 96, 92]",Trapezoid
40,6.871373653411865,"[260, 158, 104, 94]","[253, 186, 96, 92]",Trapezoid
41,6.954927682876587,"[261, 156, 106, 95]","[253, 186, 96, 92]",Trapezoid
42,7.084093332290649,"[261, 154, 106, 95]","[253, 186, 96, 92]",Trapezoid
43,7.1646668910980225,"[261, 152, 107, 95]","[253, 186, 96, 92]",Trapezoid
44,7.2722179889678955,"[261, 152, 107, 96]","[253, 186, 96, 92]",Trapezoid
45,7.402734756469727,"[262, 152, 108, 95]","[253, 186, 96, 92]",Trapezoid
46,7.508515119552612,"[263, 152, 107, 95]","[253, 186, 96, 92]",Trapezoid
47,7.615412712097168,"[263, 153, 107, 95]","[253, 186, 96, 92]",Trapezoid
48,7.782397508621216,"[263, 154, 107, 95]","[253, 186, 96, 92]",Trapezoid
49,7.845249176025391,"[264, 155, 106, 94]","[253, 186, 96, 92]",Trapezoid
50,7.922034978866577,"[265, 156, 104, 94]","[253, 186, 96, 92]",Trapezoid
51,8.065344095230103,"[265, 156, 104, 94]","[253, 186, 96, 92]",Trapezoid
52,8.223403453826904,"[265, 159, 105, 94]","[253, 186, 96, 92]",Trapezoid
53,8.330009460449219,"[265, 161, 104, 94]","[253, 186, 96, 92]",Trapezoid
54,8.428686141967773,"[265, 162, 104, 94]","[253, 186, 96, 92]",Trapezoid
55,8.515897750854492,"[265, 164, 103, 94]","[253, 186, 96, 92]",Trapezoid
56,8.605766773223877,"[266, 166, 103, 94]","[253, 186, 96, 92]",Trapezoid
57,8.716525554656982,"[266, 167, 103, 93]","[253, 186, 96, 92]",Trapezoid
58,8.80789041519165,"[266, 168, 101, 94]","[253, 186, 96, 92]",Trapezoid
59,8.926009178161621,"[266, 170, 102, 94]","[253, 186, 96, 92]",Trapezoid
60,9.07035779953003,"[266, 173, 101, 93]","[253, 186, 96, 92]",Trapezoid
61,9.128616094589233,"[266, 174, 101, 93]","[253, 186, 96, 92]",Trapezoid
62,9.231242895126343,"[266, 175, 101, 94]","[253, 186, 96, 92]",Trapezoid
63,9.431428670883179,"[266, 177, 100, 94]","[253, 186, 96, 92]",Trapezoid
64,9.466575622558594,"[267, 178, 102, 94]","[253, 186, 96, 92]",Trapezoid
65,9.610125064849854,"[267, 181, 100, 94]","[253, 186, 96, 92]",Trapezoid
66,9.726917266845703,"[267, 184, 100, 94]","[253, 186, 96, 92]",Trapezoid
67,9.8323335647583,"[267, 186, 100, 94]","[253, 186, 96, 92]",Trapezoid
68,10.265949249267578,"[267, 187, 100, 94]","[267, 86, 100, 94]",Trapezoid
69,10.271542072296143,"[267, 188, 100, 94]","[267, 86, 100, 94]",Trapezoid
70,10.419658422470093,"[268, 196, 101, 93]","[267, 86, 100, 94]",Trapezoid
71,10.504133224487305,"[268, 197, 101, 93]","[267, 86, 100, 94]",Trapezoid
72,10.957802772521973,"[268, 199, 101, 92]","[267, 86, 100, 94]",Trapezoid
73,11.090973377227783,"[269, 201, 102, 92]","[267, 86, 100, 94]",Trapezoid
74,11.132648706436157,"[269, 202, 101, 91]","[267, 86, 100, 94]",Trapezoid
75,11.281187772750854,"[269, 201, 101, 92]","[267, 86, 100, 94]",Trapezoid
76,11.322590112686157,"[268, 201, 107, 93]","[267, 86, 100, 94]",Trapezoid
77,11.445182800292969,"[268, 200, 108, 93]","[267, 86, 100, 94]",Trapezoid
78,11.552533864974976,"[269, 200, 108, 93]","[267, 86, 100, 94]",Trapezoid
79,11.648439168930054,"[270, 198, 102, 92]","[267, 86, 100, 94]",Trapezoid
80,11.858924388885498,"[270, 197, 102, 92]","[267, 86, 100, 94]",Trapezoid
81,11.891482830047607,"[270, 196, 102, 92]","[267, 86, 100, 94]",Trapezoid
82,12.01868724822998,"[269, 194, 106, 92]","[267, 86, 100, 94]",Trapezoid
83,12.26495885848999,"[267, 189, 102, 91]","[267, 86, 100, 94]",Trapezoid
84,12.393549680709839,"[267, 187, 102, 92]","[267, 86, 100, 94]",Trapezoid
85,12.501423358917236,"[266, 185, 103, 91]","[267, 86, 100, 94]",Trapezoid
86,12.585234880447388,"[264, 182, 102, 92]","[267, 86, 100, 94]",Trapezoid
87,12.669425010681152,"[263, 180, 102, 92]","[267, 86, 100, 94]",Trapezoid
88,12.780165195465088,"[262, 177, 103, 92]","[267, 86, 100, 94]",Trapezoid
89,12.90510082244873,"[260, 173, 104, 92]","[267, 86, 100, 94]",Trapezoid
90,12.966179132461548,"[259, 171, 103, 92]","[267, 86, 100, 94]",Trapezoid
91,13.085249662399292,"[257, 167, 103, 92]","[267, 86, 100, 94]",Trapezoid
92,13.210042238235474,"[257, 165, 104, 92]","[267, 86, 100, 94]",Trapezoid
93,14.76347827911377,"[256, 160, 105, 92]","[267, 86, 100, 94]",Trapezoid
94,14.861303567886353,"[255, 158, 105, 92]","[267, 86, 100, 94]",Trapezoid
95,14.934110879898071,"[261, 133, 101, 93]","[267, 86, 100, 94]",Trapezoid
96,19.50040888786316,"[305.5, 80.0, 99.0, 93.0]","[267, 86, 100, 94]",Trapezoid
97,19.58567500114441,"[350, 29, 96, 92]","[205.5, 80.0, 99.0, 93.0]",Trapezoid
