,time,pos,target,sensor,control,bluetooth
0,0.20057892799377441,[ 90.80251241 190.28985667   0.           0.        ],[100. 200.   0.   0.],"[0, 0, 0, -2]","[2, 2, 0, 0]","[1.396, 1.839, 1.673]"
1,0.4011378288269043,[ 90.80251241 190.28985667   0.           0.        ],[100. 200.   0.   0.],"[0, 0, 0, -2]","[4, 4, 0, 0]","[1.396, 1.839, 1.673]"
2,0.6016008853912354,[ 90.80251241 190.28985667   0.           0.        ],[100. 200.   0.   0.],"[0, 0, 0, -2]","[6, 6, 0, 0]","[1.396, 1.839, 1.673]"
3,0.8016602993011475,[ 90.80251241 190.28985667   0.           0.        ],[100. 200.   0.   0.],"[0, 0, 0, -2]","[8, 8, 0, 0]","[1.396, 1.839, 1.673]"
4,1.0019893646240234,[ 90.80251241 190.28985667   0.           0.        ],[100. 200.   0.   0.],"[0, 0, 0, -2]","[10, 10, 0, 0]","[1.396, 1.839, 1.673]"
5,1.2026481628417969,[ 90.80251241 190.28985667   0.           0.        ],[100. 200.   0.   0.],"[0, 0, 0, -2]","[12, 12, 0, 0]","[1.396, 1.839, 1.673]"
6,1.402662992477417,[ 90.80251241 190.28985667   0.           0.        ],[100. 200.   0.   0.],"[0, 0, 0, -2]","[14, 14, 0, 0]","[1.396, 1.839, 1.673]"
7,1.6030147075653076,[ 90.80251241 190.28985667   0.           0.        ],[100. 200.   0.   0.],"[0, 0, 0, -2]","[16, 16, 0, 0]","[1.396, 1.839, 1.673]"
8,1.8030810356140137,[ 90.80251241 190.28985667   0.           0.        ],[100. 200.   0.   0.],"[0, 0, 0, -2]","[18, 18, 0, 0]","[1.396, 1.839, 1.673]"
9,2.0037314891815186,[ 90.80251241 190.28985667   0.           0.        ],[100. 200.   0.   0.],"[1, 0, 0, -2]","[20, 20, 0, 0]","[1.396, 1.839, 1.673]"
10,2.203768014907837,[ 90.80251241 190.28985667   0.           0.        ],[100. 200.   0.   0.],"[1, 0, 0, -2]","[20, 20, 0, 0]","[1.396, 1.839, 1.673]"
11,2.404231309890747,[ 90.80251241 190.28985667   0.           0.        ],[100. 200.   0.   0.],"[1, 1, 0, -2]","[20, 20, 0, 0]","[1.396, 1.839, 1.673]"
