,elapsed_time,position,target,method
0,0.13704252243041992,"[154, 194, 80, 90]","[254, 194, 78, 90]",Proportional
1,0.2391362190246582,"[155, 194, 82, 90]","[254, 194, 78, 90]",Proportional
2,0.34011173248291016,"[155, 195, 90, 90]","[254, 194, 78, 90]",Proportional
3,0.4228706359863281,"[155, 196, 93, 90]","[254, 194, 78, 90]",Proportional
4,0.5216419696807861,"[155, 198, 98, 90]","[254, 194, 78, 90]",Proportional
5,0.6469311714172363,"[156, 199, 102, 90]","[254, 194, 78, 90]",Proportional
6,0.7262556552886963,"[156, 200, 105, 90]","[254, 194, 78, 90]",Proportional
7,0.8863050937652588,"[155, 200, 113, 89]","[254, 194, 78, 90]",Proportional
8,0.9899158477783203,"[155, 201, 115, 89]","[254, 194, 78, 90]",Proportional
9,1.0749597549438477,"[154, 201, 118, 90]","[254, 194, 78, 90]",Proportional
10,1.1947238445281982,"[153, 202, 122, 90]","[254, 194, 78, 90]",Proportional
11,1.2732927799224854,"[154, 202, 125, 89]","[254, 194, 78, 90]",Proportional
12,1.3909022808074951,"[153, 203, 124, 90]","[254, 194, 78, 90]",Proportional
13,1.5325932502746582,"[153, 202, 124, 90]","[254, 194, 78, 90]",Proportional
14,1.6193616390228271,"[153, 203, 124, 89]","[254, 194, 78, 90]",Proportional
15,1.72813081741333,"[153, 202, 124, 90]","[254, 194, 78, 90]",Proportional
16,1.8859705924987793,"[153, 202, 124, 90]","[254, 194, 78, 90]",Proportional
17,2.012996196746826,"[153, 202, 124, 90]","[254, 194, 78, 90]",Proportional
18,2.0717663764953613,"[153, 202, 124, 90]","[254, 194, 78, 90]",Proportional
19,2.2019636631011963,"[153, 201, 124, 90]","[254, 194, 78, 90]",Proportional
20,2.2937264442443848,"[155, 201, 126, 90]","[254, 194, 78, 90]",Proportional
21,2.452756643295288,"[157, 201, 126, 90]","[254, 194, 78, 90]",Proportional
22,2.5502309799194336,"[159, 201, 128, 90]","[254, 194, 78, 90]",Proportional
23,3.55460786819458,"[160, 202, 128, 90]","[254, 194, 78, 90]",Proportional
24,3.763922929763794,"[162, 202, 128, 90]","[254, 194, 78, 90]",Proportional
25,3.865163803100586,"[175, 204, 132, 90]","[254, 194, 78, 90]",Proportional
26,3.9066274166107178,"[186, 205, 132, 90]","[254, 194, 78, 90]",Proportional
27,4.0029075145721436,"[191, 205, 134, 89]","[254, 194, 78, 90]",Proportional
28,4.111043930053711,"[204, 205, 132, 91]","[254, 194, 78, 90]",Proportional
29,4.215827465057373,"[208, 206, 131, 90]","[254, 194, 78, 90]",Proportional
30,4.386856555938721,"[212, 206, 130, 90]","[254, 194, 78, 90]",Proportional
31,4.4745635986328125,"[216, 206, 130, 90]","[254, 194, 78, 90]",Proportional
32,4.641268730163574,"[219, 206, 130, 89]","[254, 194, 78, 90]",Proportional
33,4.676414966583252,"[223, 207, 128, 89]","[254, 194, 78, 90]",Proportional
34,4.912587404251099,"[225, 207, 131, 90]","[254, 194, 78, 90]",Proportional
35,5.009696006774902,"[230, 207, 129, 90]","[254, 194, 78, 90]",Proportional
36,5.1216888427734375,"[234, 208, 126, 90]","[254, 194, 78, 90]",Proportional
37,5.211688041687012,"[235, 208, 125, 90]","[254, 194, 78, 90]",Proportional
38,5.331425189971924,"[237, 208, 124, 89]","[254, 194, 78, 90]",Proportional
39,5.558058738708496,"[239, 208, 124, 89]","[254, 194, 78, 90]",Proportional
40,5.616126298904419,"[239, 208, 123, 90]","[254, 194, 78, 90]",Proportional
41,5.714723348617554,"[240, 208, 122, 89]","[254, 194, 78, 90]",Proportional
42,5.854983568191528,"[244, 208, 118, 90]","[254, 194, 78, 90]",Proportional
43,5.919624328613281,"[247, 208, 115, 90]","[254, 194, 78, 90]",Proportional
44,6.049679279327393,"[248, 208, 113, 89]","[254, 194, 78, 90]",Proportional
45,6.144772291183472,"[249, 208, 112, 89]","[254, 194, 78, 90]",Proportional
46,6.25213360786438,"[250, 208, 112, 88]","[254, 194, 78, 90]",Proportional
47,6.362918376922607,"[250, 207, 109, 89]","[254, 194, 78, 90]",Proportional
48,6.5201287269592285,"[250, 207, 108, 89]","[254, 194, 78, 90]",Proportional
49,6.624341249465942,"[251, 207, 106, 89]","[254, 194, 78, 90]",Proportional
50,6.850637912750244,"[251, 206, 106, 89]","[254, 194, 78, 90]",Proportional
51,6.964483261108398,"[251, 205, 104, 90]","[254, 194, 78, 90]",Proportional
52,7.08331298828125,"[251, 205, 103, 90]","[254, 194, 78, 90]",Proportional
53,7.179280519485474,"[251, 205, 102, 90]","[254, 194, 78, 90]",Proportional
54,7.266932487487793,"[251, 205, 101, 90]","[254, 194, 78, 90]",Proportional
55,7.3985559940338135,"[251, 204, 100, 90]","[254, 194, 78, 90]",Proportional
56,7.52644681930542,"[250, 204, 99, 90]","[254, 194, 78, 90]",Proportional
57,7.6533942222595215,"[250, 204, 99, 90]","[254, 194, 78, 90]",Proportional
58,7.7745442390441895,"[250, 204, 98, 90]","[254, 194, 78, 90]",Proportional
59,7.871787786483765,"[249, 203, 98, 90]","[254, 194, 78, 90]",Proportional
60,7.942116737365723,"[249, 203, 101, 89]","[254, 194, 78, 90]",Proportional
61,8.11388635635376,"[249, 203, 97, 90]","[254, 194, 78, 90]",Proportional
62,8.272217035293579,"[248, 203, 96, 90]","[254, 194, 78, 90]",Proportional
63,8.357145309448242,"[247, 202, 96, 90]","[254, 194, 78, 90]",Proportional
