,time,bluetooth
0,0.1118462085723877,"[1.44, 1.549, 0.129]"
1,0.21212196350097656,"[1.427, 1.548, 0.082]"
2,0.3124063014984131,"[1.417, 1.548, 0.098]"
3,0.4126713275909424,"[1.398, 1.539, 0.168]"
4,0.51528000831604,"[1.347, 1.521, 0.152]"
5,0.6195719242095947,"[1.328, 1.507, 0.41]"
6,0.7198572158813477,"[1.334, 1.502, 0.542]"
7,0.8201391696929932,"[1.215, 1.483, 0.808]"
8,0.9204161167144775,"[1.207, 1.478, 0.861]"
9,1.0207009315490723,"[1.371, 1.473, 0.506]"
10,1.1209776401519775,"[0.831, 1.471, 0.856]"
11,1.2212486267089844,"[0.825, 1.47, 0.883]"
12,1.3215210437774658,"[1.473, 1.467, 0.884]"
13,1.4217872619628906,"[1.282, 1.464, 0.852]"
14,1.5220685005187988,"[1.154, 1.465, 0.895]"
15,1.6223511695861816,"[1.379, 1.461, 0.891]"
16,1.7226197719573975,"[1.194, 1.458, 0.921]"
17,1.8228986263275146,"[1.295, 1.457, 0.961]"
18,1.9231688976287842,"[0.605, 1.45, 0.908]"
19,2.023444890975952,"[1.493, 1.447, 0.944]"
20,2.1237189769744873,"[1.052, 1.447, 0.968]"
21,2.2239902019500732,"[0.651, 1.447, 0.936]"
22,2.324256181716919,"[0.763, 1.44, 0.974]"
23,2.4245288372039795,"[1.398, 1.438, 0.988]"
24,2.524811267852783,"[1.156, 1.427, 0.999]"
25,2.6250951290130615,"[1.301, 1.42, 0.974]"
26,2.7253775596618652,"[1.342, 1.416, 0.972]"
27,2.825655698776245,"[1.119, 1.393, 0.948]"
28,2.9259397983551025,"[1.108, 1.393, 0.968]"
29,3.026215076446533,"[1.035, 1.382, 0.95]"
30,3.126481294631958,"[0.63, 1.349, 0.945]"
31,3.2267444133758545,"[0.879, 1.349, 0.938]"
32,3.3270087242126465,"[1.101, 1.327, 0.916]"
33,3.427274465560913,"[0.848, 1.319, 0.916]"
34,3.5275449752807617,"[0.562, 1.303, 0.898]"
35,3.6278090476989746,"[0.458, 1.225, 0.885]"
36,3.7280731201171875,"[0.767, 1.168, 0.846]"
37,3.8283395767211914,"[0.574, 1.105, 0.832]"
38,3.9286048412323,"[0.332, 0.93, 0.812]"
39,4.028872013092041,"[0.531, 0.868, 0.811]"
40,4.1291515827178955,"[0.317, 0.887, 0.807]"
41,4.229432106018066,"[0.396, 0.937, 0.808]"
42,4.3297154903411865,"[0.458, 1.044, 0.818]"
43,4.429985761642456,"[0.474, 0.972, 0.811]"
44,4.530265808105469,"[0.529, 0.853, 0.82]"
45,4.6305482387542725,"[0.649, 0.853, 0.82]"
46,4.7308266162872314,"[0.409, 1.033, 0.824]"
47,4.831093072891235,"[0.133, 0.844, 0.771]"
48,4.931372880935669,"[0.488, 0.795, 0.753]"
49,5.031641483306885,"[0.394, 0.739, 0.737]"
50,5.131922006607056,"[0.107, 0.677, 1.003]"
51,5.232198715209961,"[0.137, 0.653, 1.159]"
52,5.332471609115601,"[0.209, 0.642, 1.161]"
53,5.432737112045288,"[0.245, 0.622, 1.163]"
54,5.53300404548645,"[0.157, 0.635, 1.16]"
55,5.633288860321045,"[0.079, 0.635, 1.16]"
56,5.733557462692261,"[0.143, 0.634, 0.76]"
57,5.833831787109375,"[0.089, 0.629, 0.944]"
58,5.934104919433594,"[0.195, 0.633, 1.16]"
59,6.034371614456177,"[0.152, 0.64, 0.192]"
60,6.134648323059082,"[0.163, 0.642, 0.192]"
61,6.23492693901062,"[0.191, 0.645, 0.195]"
62,6.335205316543579,"[0.119, 0.645, 0.196]"
63,6.435475587844849,"[0.122, 0.621, 0.195]"
64,6.5355329513549805,"[0.133, 0.621, 0.198]"
65,6.635803937911987,"[0.129, 0.621, 0.197]"
66,6.73607611656189,"[0.24, 0.614, 0.197]"
67,6.836342811584473,"[0.125, 0.614, 0.199]"
68,6.936611890792847,"[0.161, 0.616, 0.199]"
69,7.0368921756744385,"[0.198, 0.614, 0.204]"
70,7.1371753215789795,"[0.108, 0.614, 0.209]"
71,7.2374584674835205,"[0.101, 0.624, 0.209]"
72,7.337744235992432,"[0.177, 0.624, 0.212]"
73,7.43801736831665,"[0.186, 0.625, 0.217]"
74,7.538300514221191,"[0.188, 0.629, 0.221]"
75,7.63858699798584,"[0.145, 0.629, 0.228]"
76,7.738864421844482,"[0.21, 0.643, 0.232]"
77,7.839144706726074,"[0.133, 0.651, 0.232]"
78,7.939420461654663,"[0.184, 0.662, 0.237]"
79,8.039688110351562,"[0.146, 0.665, 0.231]"
80,8.13997197151184,"[0.146, 0.665, 0.231]"
81,8.240238428115845,"[0.133, 0.667, 0.211]"
82,8.340511798858643,"[0.181, 0.672, 0.2]"
83,8.44079065322876,"[0.109, 0.672, 0.191]"
84,8.541069030761719,"[0.177, 0.674, 0.221]"
85,8.641347885131836,"[0.213, 0.683, 0.197]"
86,8.741626501083374,"[0.168, 0.682, 0.205]"
87,8.84191083908081,"[0.118, 0.697, 0.203]"
88,8.942176818847656,"[0.145, 0.697, 0.203]"
89,9.057770729064941,"[0.185, 0.683, 0.203]"
90,9.15805196762085,"[0.184, 0.683, 0.203]"
91,9.25832724571228,"[0.162, 0.685, 0.204]"
92,9.358601570129395,"[0.103, 0.676, 0.204]"
93,9.458885669708252,"[0.103, 0.676, 0.204]"
94,9.559139490127563,"[0.239, 0.685, 0.204]"
95,9.659430742263794,"[0.204, 0.682, 0.204]"
96,9.759689092636108,"[0.159, 0.685, 0.205]"
97,9.859955072402954,"[0.136, 0.685, 0.205]"
98,9.960232496261597,"[0.15, 0.67, 0.207]"
